Sgk3
Msc
Ly96
Pi15
Mcm3
Gsta3
Ptpn18
Plekhb2
Hs6st1
Neurl3
Fam178b
Inpp4a
Mgat4a
Rnf149
Il1rl1
Il18r1
Tmem182
Tgfbrap1
Fhl2
Nck2
1500015O10Rik
Tex30
Slc40a1
Sdpr
Nabp1
Myo1b
Stat1
Mfsd6
Stk17b
Pgap1
Hspd1
Sgol2a
Casp8
Fam117b
Cd28
Nrp2
Zdbf2
Pikfyve
Fn1
Igfbp2
Igfbp5
Slc11a1
Wnt6
Tuba4a
Des
Kcne4
Serpine2
Dock10
Pid1
Sp110
A630001G21Rik
Efhd1
Inpp5d
Dgkd
Mroh2a
Arl4c
Ackr3
Ramp1
Sned1
St8sia4
D1Ertd622e
Pam
Rnf152
Tnfrsf11a
Serpinb8
Inhbb
Tmem185b
Tmem37
Dbi
Mgat5
Zranb3
Mcm6
Cxcr4
Gm15675
Cd55
Pfkfb2
Il10
Mapkapk2
Rassf5
Rab7b
Slc45a3
Nuak2
Fmod
Ppfia4
Cyb5r1
Ptpn7
Lmod1
Csrp1
Ptprc
Aspm
Cfhr2
Cfh
Rgs2
Rgs1
Rgs18
Pla2g4a
Ptgs2
Hmcn1
Ivns1abp
Rgl1
Ncf2
Smg7
Npl
Rgs16
Rnasel
Glul
Ier5
Xpr1
Soat1
Angptl1
Cenpl
Dnm3os
Fmo1
Fmo2
Atp1b1
Sft2d2
Rcsd1
Creg1
Ildr2
Aldh9a1
Mgst3
Nuf2
Rgs5
Rgs4
Uap1
Uhmk1
Fcgr2b
Fcgr4
Fcgr3
Fcer1g
Adamts4
Arhgap30
F11r
Ly9
Slamf7
Cd48
Cd84
Slamf9
Igsf9
Tagln2
Cfap45
Slamf8
Cadm3
Aim2
Gm4955
Pydc4
Pyhin1
Mndal
Ifi203
Kmo
Chml
Zbtb18
Itpkb
Lin9
Gm17275
Lbr
Hlx
Gm34342
Tgfb2
Kcnk2
Cenpf
Mfsd7b
Batf3
Fam71a
D730003I15Rik
A130010J15Rik
Hsd11b1
G0s2
Dclre1c
Fam107b
Ccdc3
Camk1d
Usp6nl
Pfkfb3
Mrc1
Pip4k2a
Armc3
Otud1
Etl4
Il1rn
Psd4
Arrdc1
Pnpla7
Tor4a
Tprn
Dpp7
Clic3
Ptgds
Tmem141
Fcna
Bmyc
Nacc2
Egfl7
Agpat2
Vav2
Slc27a4
Tbc1d13
Ccbl1
Lrrc8a
Fnbp1
Hmcn2
Lamc3
Lcn2
Naif1
Sh2d3c
Angptl2
Pbx3
Traf1
Stom
Ggta1
Ptgs1
Zbtb26
Arhgap15
Gtdc1
Zeb2os
Kif5c
Rnd3
Tnfaip6
Nr4a2
Cytip
Pkp4
Dpp4
